"file","function_name","line","n_args","args","summary","internal_calls","internal_called_by"
"cluster_metrics.R","adjusted_rand_index_internal",NA,2,"x, y","",0,2
"cluster_metrics.R","align_cluster_list",NA,1,"cluster_list","",0,1
"cluster_metrics.R","cluster_ari",NA,3,"pred, ref, na.rm","",2,1
"cluster_metrics.R","cluster_jaccard",NA,3,"pred, ref, na.rm","",2,1
"cluster_metrics.R","cluster_metric_matrix",NA,3,"cluster_list, metric, na.rm","",5,0
"cluster_metrics.R","cluster_metrics",NA,4,"pred, ref, na.rm, as_tibble","",4,1
"cluster_metrics.R","cluster_nmi",NA,3,"pred, ref, na.rm","",2,1
"cluster_metrics.R","cluster_purity",NA,3,"pred, ref, na.rm","",1,1
"cluster_metrics.R","normalized_mutual_information_internal",NA,2,"x, y","",0,2
"cluster_metrics.R","partition_jaccard_index_internal",NA,2,"x, y","",0,2
"cluster_metrics.R","prepare_cluster_pair",NA,3,"pred, ref, na.rm","",0,5
"connect_utils.R","normalize_connect_list",NA,4,"connect_list, n_blocks, valid_names, arg_name","",0,3
"em-util.R","em",NA,9,"x1, p, mu, sigma, iter, eps, verbose, c1, c2","",1,1
"em-util.R","get_param",NA,1,"x","",0,1
"em-util.R","sum.finite",NA,1,"x","",0,1
"filter_omics.R","default_methylation_top_n",NA,1,"n_samples","",0,1
"filter_omics.R","default_mirna_top_n",NA,1,"n_samples","",0,1
"filter_omics.R","enumerate_connections",NA,1,"dat_names","",0,1
"filter_omics.R","filter_omics",NA,8,"dat.list, filter_mode, filter_method, top_n_by_type, top_n_manual, return_summary, verbose, ...","",5,1
"filter_omics.R","filter_omics_block",NA,3,"dat_block, top_n, filter_method","",0,1
"filter_omics.R","infer_omics_type",NA,1,"block_name","",0,1
"filter_omics.R","normalize_top_n_by_type",NA,1,"top_n_by_type","",0,1
"filter_omics.R","resolve_manual_top_n",NA,3,"top_n_manual, block_name, block_idx","",0,1
"filter_omics.R","resolve_top_n",NA,8,"block_name, block_idx, omics_type, n_samples, n_features, filter_mode, top_n_map, top_n_manual","",3,1
"filter_omics.R","sanitize_omics_block",NA,2,"dat_block, block_name","",0,1
"findConnection.R","calc_gcc_ratio",NA,3,"W, edge_threshold, symm","",0,1
"findConnection.R","calc_weight_concentration",NA,2,"W, eps","",0,1
"findConnection.R","findConnection",NA,11,"mod.list, return_score, drop_bottom_q, top_v, adjust_weights, row_normalize, keep_ties, select_one_per_pair, edge_threshold, gcc_symm, ...","",3,2
"findConnection.R","fullConnect",NA,2,"dat.list, ...","",1,1
"findConnection.R","get_r_sq",NA,1,"mod","",0,3
"fit_rfsrc.R","fit_multi_rfsrc",NA,6,"dat.list, connect_list, var.wt, yprob, seed, ...","",2,3
"fit_rfsrc.R","fit_rfsrc",NA,10,"X, Y, type, nodedepth, ntree, forest.wt, proximity, ytry, seed, ...","",0,3
"KM_plot.R","KM_plot",NA,6,"test_var, time_var, event_var, pheno_mat, cut, ...","",0,0
"mrf3_cl_prox.R","estimate_density_mode",NA,1,"x","",0,1
"mrf3_cl_prox.R","get_prox",NA,1,"class_mem","",0,0
"mrf3_cl_prox.R","mrf3_cl_prox",NA,18,"rfit, k, enhanced, size_min, use, symm, leaf_embed_dim, merge_quantile, merge_mode, sibling_gamma, sibling_fun, sibling_cap, hard_prox_mode, parallel, sparse, method_cl, cores, ...","",5,3
"mrf3_cl-util.R","build_embedding_list",NA,4,"mod, symm, use, leaf_embed_dim","",1,2
"mrf3_cl-util.R","build_sample_embedding",NA,2,"dat, leaf_embed_dim","",0,1
"mrf3_cl-util.R","build_sibling_edges",NA,5,"leaf_select, parent_tbl, sibling_gamma, sibling_fun, sibling_cap","",1,1
"mrf3_cl-util.R","build_soft_tree_prox",NA,6,"tree.membership, leaf_select, parent_tbl, sibling_gamma, sibling_fun, sibling_cap","",2,1
"mrf3_cl-util.R","build_sparse_leaf_prox",NA,2,"tree.membership, sibling_edges","",0,2
"mrf3_cl-util.R","cl_forest",NA,14,"mod, size_min, use, symm, leaf_embed_dim, merge_quantile, merge_mode, sibling_gamma, sibling_fun, sibling_cap, hard_prox_mode, parallel, cores, ...","",2,1
"mrf3_cl-util.R","get_corr",NA,2,"mem_pair, centroid_list","",1,1
"mrf3_cl-util.R","get_leaf_centroid_embedding",NA,2,"sample_embed, tree.membership","",0,1
"mrf3_cl-util.R","get_leaf_corr",NA,3,"tree.membership, net, sample_embed_list","",2,2
"mrf3_cl-util.R","safe_spearman",NA,2,"x, y","",0,1
"mrf3_cl-util.R","transform_sibling_corr",NA,2,"corr, sibling_fun","",0,1
"mrf3_cl-util.R","update_iter_cl",NA,13,"mod, tree.id, size_min, symm, use, leaf_embed_dim, sample_embed_list, merge_quantile, merge_mode, sibling_gamma, sibling_fun, sibling_cap, hard_prox_mode","",6,1
"mrf3_cl-util.R","update_tree_leaf",NA,5,"tree.membership, net, sample_embed_list, merge_quantile, size_min","",1,1
"mrf3_cl.R","mrf3_cl",NA,11,"mod, dat.list, k, method, dat_use_to_cluster, weights_cluster, enhanced, parallel, method_cl, cores, ...","",2,0
"mrf3_init.R","mrf3_init",NA,13,"dat.list, ntree, scale, yprob, connect_list, filter_mode, filter_method, top_n_by_type, top_n_manual, filter_verbose, return_data, seed, ...","",5,1
"mrf3_reconstr.R","ao_fuse_similarity",NA,10,"W_models, k, gamma, alpha_init, max_iter, tol, knn_q, hollow, symm, verbose","",2,2
"mrf3_reconstr.R","build_similarity_laplacian",NA,4,"W, knn_q, hollow, symm","",1,1
"mrf3_reconstr.R","fuse_matrix_list",NA,2,"mat_list, alpha","",0,2
"mrf3_reconstr.R","get_reconstr_matrix",NA,10,"rfit, model_top_v, recon_fusion, connection_score, score_power, score_floor, fallback_uniform, fused_top_v, fused_row_normalize, fused_keep_ties","",6,2
"mrf3_reconstr.R","knn_sparsify",NA,3,"S, q, symm","",0,1
"mrf3_reconstr.R","match_model_scores",NA,2,"model_names, connection_score","",1,2
"mrf3_reconstr.R","mrf3_reconstr",NA,24,"recon, rfit, k, weights_cluster, dat_use_to_cluster, model_top_v, recon_fusion, connection_score, score_power, score_floor, fallback_uniform, fused_top_v, fused_row_normalize, fused_keep_ties, fusion_mode, gamma, alpha_init, ao_max_iter, ao_tol, knn_q, hollow, ao_symm, ao_verbose, ...","",5,1
"mrf3_reconstr.R","normalize_fusion_weights",NA,2,"score, fallback_uniform","",0,2
"mrf3_reconstr.R","parse_model_pair",NA,1,"model_name","",0,2
"mrf3_reconstr.R","postprocess_fused_weight",NA,4,"W, top_v, row_normalize, keep_ties","",2,3
"mrf3_reconstr.R","project_simplex",NA,1,"v","",0,1
"mrf3_tsne.R","mrf3_tsne",NA,7,"mod, dims, max_iter, learning_rate, verbose, tol, patience","",1,1
"mrf3_tsne.R","tsne",NA,7,"X, dims, max_iter, learning_rate, verbose, patience, tol","",1,1
"mrf3_vs.R","choose_thres2",NA,11,"weights, connection, new_dat, yprob, ntree, type, oob_init, k, tol, select, ...","",2,1
"mrf3_vs.R","chooss_thres3",NA,2,"weights, se","",0,1
"mrf3_vs.R","mrf3_vs",NA,20,"mod, dat.list, method, se, c1, c2, level, tscore, use_distribution, re_weights, re_fit, ntree, scale, k, tol, iter, eps, normalized, select, ...","",7,1
"mrf3_vs.R","test_fn",NA,4,"wl, connection, dat_names, sig.thres","",0,1
"mrf3_workflow_methods.R","print.mrf3_fit",NA,2,"x, ...","",2,0
"mrf3_workflow_methods.R","print.summary.mrf3_fit",NA,4,"x, digits, max_shared_frac_rows, ...","",0,1
"mrf3_workflow_methods.R","summary.mrf3_fit",NA,2,"object, ...","",1,1
"mrf3_workflow_simple.R","mrf3",NA,8,"dat.list, k, ntree, top_v, main_clustering, filter_mode, seed, ...","",1,0
"mrf3_workflow_simple.R","mrf3_full",NA,1,"...","",1,0
"mrf3_workflow.R","mrf3_fit",NA,34,"dat.list, ntree, scale, yprob, connect_list, filter_mode, filter_method, top_n_by_type, top_n_manual, filter_verbose, main_clustering, shared_specific_args, specific_clustering_args, run_imd, imd_args, run_variable_selection, variable_selection_args, run_robust_clustering, cluster_imd_args, top_v, model_top_v, recon_fusion, score_power, score_floor, fallback_uniform, fused_top_v, fused_row_normalize, fused_keep_ties, model_top_v_tune_args, fused_top_v_tune_args, return_data, compact_output, seed, ...","",14,2
"mrf3-util.R","add_lambda",NA,4,"imp_ls, net, x_freq, lambda","",0,0
"mrf3-util.R","cal_freq",NA,2,"mod, net","",0,0
"mrf3-util.R","get_imp_forest",NA,14,"mod, parallel, robust, calc, weighted, use_depth, normalized, w, yprob, cores, seed, permute, nperm, alpha","",1,1
"mrf3-util.R","get_iv",NA,2,"var_name, imp","",0,1
"mrf3-util.R","get_leaf_ds",NA,3,"mod, tree.membership, net","",0,1
"mrf3-util.R","get_multi_weights",NA,17,"mod_list, dat.list, y, weighted, use_depth, robust, parallel, normalized, calc, yprob, w, cores, seed, permute, nperm, alpha, ...","",1,2
"mrf3-util.R","get_results",NA,14,"mod_list, parallel, normalized, weighted, robust, use_depth, calc, w, yprob, cores, seed, permute, nperm, alpha","",1,1
"mrf3-util.R","get_tree_imp",NA,14,"mod, dat, robust, tree.membership, net, calc, M, w, yprob, weighted, seed, permute, nperm, alpha","",1,1
"mrf3-util.R","get_tree_net",NA,2,"mod, tree.id","",0,2
"mrf3-util.R","get_Y_imp",NA,11,"net, tree.membership, dat, robust, w, yprob, seed, permute, nperm, alpha, top","",0,1
"mrf3-util.R","update_iter_imp",NA,11,"mod, tree.id, calc, robust, w, yprob, weighted, seed, permute, nperm, alpha","",4,1
"pairwise_imd.R","build_tree",NA,1,"net","",0,1
"pairwise_imd.R","cluster_imd",NA,17,"x, cluster, dat.list, connect_list, min_cluster_size, ntree, yprob, parallel, imd_normalized_weights, run_pairwise, pairwise_all_var, pairwise_normalized, fit_args, imd_args, keep_model, keep_data, seed","",4,6
"pairwise_imd.R","find_subtrees",NA,1,"net","",2,1
"pairwise_imd.R","get_subtree",NA,2,"graph, root","",0,1
"pairwise_imd.R","pairwise_imd",NA,2,"x, ...","",0,3
"pairwise_imd.R","pairwise_imd_mod",NA,2,"net_list, var_name","",1,1
"pairwise_imd.R","pairwise_imd_tree",NA,2,"net, var_name","",1,1
"pairwise_imd.R","pairwise_imd.mrf3",NA,4,"x, all_var, normalized, ...","",1,0
"pairwise_imd.R","print.cluster_imd",NA,2,"x, ...","",0,0
"plot_tSNE.R","as_numeric_matrix",NA,2,"x, label","",0,3
"plot_tSNE.R","as_weight_list",NA,1,"x","",0,1
"plot_tSNE.R","extract_mrf3_plot_matrix",NA,4,"x, source, omics, cluster","",4,2
"plot_tSNE.R","extract_plot_matrix",NA,4,"x, source, omics, cluster","",3,3
"plot_tSNE.R","extract_plot_weights",NA,3,"x, source, cluster","",4,1
"plot_tSNE.R","plot_circos",NA,6,"mat, names.list, group, cut.off, highlight, ...","",0,0
"plot_tSNE.R","plot_embed",NA,5,"dat, group, position, pch, ...","",0,0
"plot_tSNE.R","plot_heatmap",NA,9,"dat, group, cluster_cols, fontsize_row, border_color, source, omics, cluster, ...","",1,0
"plot_tSNE.R","plot_network",NA,19,"dat, group, label, cutoff, layout, vertex.size, label.dist, edge.width, vertex.frame.color, vertex.label.color, vertex.label.cex, vertex.label.dist, edge.curved, vertex.label.degree, position, source, omics, cluster, ...","",1,0
"plot_tSNE.R","plot_tSNE",NA,14,"dat, mod, group, label_group, position, perplexity, pca, ncomp, main, size, source, omics, cluster, ...","",4,1
"plot_tSNE.R","plot_umap",NA,14,"dat, group, main, label_group, pca, ncomp, position, pch, config, method, source, omics, cluster, ...","",1,0
"plot_tSNE.R","plot_weights",NA,6,"weights, plot.which, top, labels, weight_source, cluster","",1,0
"plot_tSNE.R","resolve_choice",NA,3,"value, choices, what","",0,2
"RcppExports.R","tsne_cost_gradient_cpp",NA,2,"Y, P","",0,1
"shared_fraction.R","get_shared_frac",NA,4,"dat.list, residual, shared_specific, eps","",0,1
"shared_specific_weights.R","get_shared_specific_weights",NA,6,"dat.list, recon, specific_top_v, specific_keep_ties, specific_row_normalize, ...","",2,1
"signal_clustering.R","build_similarity_from_weights",NA,4,"W, similarity_type, zero_diag, symm","",1,2
"signal_clustering.R","cluster_shared_similarity",NA,17,"recon, mode, dat_use, k, method, tune_method, gap_w, similarity_type, gamma, alpha_init, ao_max_iter, ao_tol, knn_q, hollow, ao_symm, ao_verbose, ...","",4,1
